memory file = ../riscvn.mem
program counter = 0000000c(12)
stack address = 4096
debugtype = 3
ram[00000000]  = 00000417(32) ; 00000000 -> 00000417 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> 0e000000 : t4 -> 0e000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[00000374] -> f0000393
[INST] inst fetched from 00000374 -> f0000393
[REGIMM] f0000393 : rd 7, rs1 0(00000000), funct3 0, funct7 78, imm f00
: pc -> 00000378(888) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00010000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> 00007fff : t2 -> ffffff00 : 
: s0 -> 00000370 : s1 -> 00010000 : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> 0e000000 : t4 -> 0e000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[00000378] -> ff848383
[INST] inst fetched from 00000378 -> ff848383
[LOAD] ff848383 : rd 7, rs1 9(00010000), funct3 0, imm ff8
ram[0000fff8] -> 0000007f(8) ; 0000007f
: pc -> 0000037c(892) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00010000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> 00007fff : t2 -> 0000007f : 
: s0 -> 00000370 : s1 -> 00010000 : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> 0e000000 : t4 -> 0e000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[0000037c] -> 07f00313
[INST] inst fetched from 0000037c -> 07f00313
[REGIMM] 07f00313 : rd 6, rs1 0(00000000), funct3 0, funct7 3, imm 7f
: pc -> 00000380(896) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00010000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> 0000007f : t2 -> 0000007f : 
: s0 -> 00000370 : s1 -> 00010000 : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> 0e000000 : t4 -> 0e000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[00000380] -> 30731a63
[INST] inst fetched from 00000380 -> 30731a63
[BRANCH] 30731a63 : rs1 6(0000007f), rs2 7(0000007f), funct3 1, brimm 314
: pc -> 00000384(900) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00010000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> 0000007f : t2 -> 0000007f : 
: s0 -> 00000370 : s1 -> 00010000 : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> 0e000000 : t4 -> 0e000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[00000384] -> 00000417
[INST] inst fetched from 00000384 -> 00000417
[AUIPC] 00000417 : rd 8, upperimm 0
: pc -> 00000388(904) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00010000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> 0000007f : t2 -> 0000007f : 
: s0 -> 00000384 : s1 -> 00010000 : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> 0e000000 : t4 -> 0e000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[00000388] -> 00000393
[INST] inst fetched from 00000388 -> 00000393
[REGIMM] 00000393 : rd 7, rs1 0(00000000), funct3 0, funct7 0, imm 0
: pc -> 0000038c(908) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00010000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> 0000007f : t2 -> 00000000 : 
: s0 -> 00000384 : s1 -> 00010000 : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> 0e000000 : t4 -> 0e000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[0000038c] -> ffc48383
[INST] inst fetched from 0000038c -> ffc48383
[LOAD] ffc48383 : rd 7, rs1 9(00010000), funct3 0, imm ffc
ram[0000fffc] -> 000000ff(8) ; 000000ff
: pc -> 00000390(912) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00010000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> 0000007f : t2 -> ffffffff : 
: s0 -> 00000384 : s1 -> 00010000 : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> 0e000000 : t4 -> 0e000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[00000390] -> fff00313
[INST] inst fetched from 00000390 -> fff00313
[REGIMM] fff00313 : rd 6, rs1 0(00000000), funct3 0, funct7 7f, imm fff
: pc -> 00000394(916) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00010000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> ffffffff : t2 -> ffffffff : 
: s0 -> 00000384 : s1 -> 00010000 : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> 0e000000 : t4 -> 0e000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[00000394] -> 30731063
[INST] inst fetched from 00000394 -> 30731063
[BRANCH] 30731063 : rs1 6(ffffffff), rs2 7(ffffffff), funct3 1, brimm 300
: pc -> 00000398(920) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00010000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> ffffffff : t2 -> ffffffff : 
: s0 -> 00000384 : s1 -> 00010000 : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> 0e000000 : t4 -> 0e000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[00000398] -> 00000417
[INST] inst fetched from 00000398 -> 00000417
[AUIPC] 00000417 : rd 8, upperimm 0
: pc -> 0000039c(924) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00010000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> ffffffff : t2 -> ffffffff : 
: s0 -> 00000398 : s1 -> 00010000 : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> 0e000000 : t4 -> 0e000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[0000039c] -> ffff03b7
[INST] inst fetched from 0000039c -> ffff03b7
[LUI] ffff03b7 : rd 7, upperimm ffff0000
: pc -> 000003a0(928) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00010000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> ffffffff : t2 -> ffff0000 : 
: s0 -> 00000398 : s1 -> 00010000 : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> 0e000000 : t4 -> 0e000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[000003a0] -> ff049383
[INST] inst fetched from 000003a0 -> ff049383
[LOAD] ff049383 : rd 7, rs1 9(00010000), funct3 1, imm ff0
ram[0000fff0] -> 00007fff(16) ; 00007fff
: pc -> 000003a4(932) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00010000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> ffffffff : t2 -> 00007fff : 
: s0 -> 00000398 : s1 -> 00010000 : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> 0e000000 : t4 -> 0e000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[000003a4] -> 00008337
[INST] inst fetched from 000003a4 -> 00008337
[LUI] 00008337 : rd 6, upperimm 8000
: pc -> 000003a8(936) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00010000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> 00008000 : t2 -> 00007fff : 
: s0 -> 00000398 : s1 -> 00010000 : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> 0e000000 : t4 -> 0e000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[000003a8] -> fff30313
[INST] inst fetched from 000003a8 -> fff30313
[REGIMM] fff30313 : rd 6, rs1 6(00008000), funct3 0, funct7 7f, imm fff
: pc -> 000003ac(940) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00010000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> 00007fff : t2 -> 00007fff : 
: s0 -> 00000398 : s1 -> 00010000 : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> 0e000000 : t4 -> 0e000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[000003ac] -> 2e731463
[INST] inst fetched from 000003ac -> 2e731463
[BRANCH] 2e731463 : rs1 6(00007fff), rs2 7(00007fff), funct3 1, brimm 2e8
: pc -> 000003b0(944) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00010000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> 00007fff : t2 -> 00007fff : 
: s0 -> 00000398 : s1 -> 00010000 : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> 0e000000 : t4 -> 0e000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[000003b0] -> 00000417
[INST] inst fetched from 000003b0 -> 00000417
[AUIPC] 00000417 : rd 8, upperimm 0
: pc -> 000003b4(948) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00010000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> 00007fff : t2 -> 00007fff : 
: s0 -> 000003b0 : s1 -> 00010000 : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> 0e000000 : t4 -> 0e000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[000003b4] -> 00000393
[INST] inst fetched from 000003b4 -> 00000393
[REGIMM] 00000393 : rd 7, rs1 0(00000000), funct3 0, funct7 0, imm 0
: pc -> 000003b8(952) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00010000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> 00007fff : t2 -> 00000000 : 
: s0 -> 000003b0 : s1 -> 00010000 : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> 0e000000 : t4 -> 0e000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[000003b8] -> ff449383
[INST] inst fetched from 000003b8 -> ff449383
[LOAD] ff449383 : rd 7, rs1 9(00010000), funct3 1, imm ff4
ram[0000fff4] -> 0000ffff(16) ; 0000ffff
: pc -> 000003bc(956) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00010000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> 00007fff : t2 -> ffffffff : 
: s0 -> 000003b0 : s1 -> 00010000 : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> 0e000000 : t4 -> 0e000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[000003bc] -> fff00313
[INST] inst fetched from 000003bc -> fff00313
[REGIMM] fff00313 : rd 6, rs1 0(00000000), funct3 0, funct7 7f, imm fff
: pc -> 000003c0(960) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00010000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> ffffffff : t2 -> ffffffff : 
: s0 -> 000003b0 : s1 -> 00010000 : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> 0e000000 : t4 -> 0e000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[000003c0] -> 2c731a63
[INST] inst fetched from 000003c0 -> 2c731a63
[BRANCH] 2c731a63 : rs1 6(ffffffff), rs2 7(ffffffff), funct3 1, brimm 2d4
: pc -> 000003c4(964) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00010000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> ffffffff : t2 -> ffffffff : 
: s0 -> 000003b0 : s1 -> 00010000 : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> 0e000000 : t4 -> 0e000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[000003c4] -> 00000417
[INST] inst fetched from 000003c4 -> 00000417
[AUIPC] 00000417 : rd 8, upperimm 0
: pc -> 000003c8(968) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00010000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> ffffffff : t2 -> ffffffff : 
: s0 -> 000003c4 : s1 -> 00010000 : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> 0e000000 : t4 -> 0e000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[000003c8] -> f0000393
[INST] inst fetched from 000003c8 -> f0000393
[REGIMM] f0000393 : rd 7, rs1 0(00000000), funct3 0, funct7 78, imm f00
: pc -> 000003cc(972) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00010000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> ffffffff : t2 -> ffffff00 : 
: s0 -> 000003c4 : s1 -> 00010000 : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> 0e000000 : t4 -> 0e000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[000003cc] -> ffc4c383
[INST] inst fetched from 000003cc -> ffc4c383
[LOAD] ffc4c383 : rd 7, rs1 9(00010000), funct3 4, imm ffc
ram[0000fffc] -> 000000ff(8) ; 000000ff
: pc -> 000003d0(976) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00010000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> ffffffff : t2 -> 000000ff : 
: s0 -> 000003c4 : s1 -> 00010000 : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> 0e000000 : t4 -> 0e000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[000003d0] -> 0ff00313
[INST] inst fetched from 000003d0 -> 0ff00313
[REGIMM] 0ff00313 : rd 6, rs1 0(00000000), funct3 0, funct7 7, imm ff
: pc -> 000003d4(980) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00010000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> 000000ff : t2 -> 000000ff : 
: s0 -> 000003c4 : s1 -> 00010000 : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> 0e000000 : t4 -> 0e000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[000003d4] -> 2c731063
[INST] inst fetched from 000003d4 -> 2c731063
[BRANCH] 2c731063 : rs1 6(000000ff), rs2 7(000000ff), funct3 1, brimm 2c0
: pc -> 000003d8(984) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00010000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> 000000ff : t2 -> 000000ff : 
: s0 -> 000003c4 : s1 -> 00010000 : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> 0e000000 : t4 -> 0e000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[000003d8] -> 00000417
[INST] inst fetched from 000003d8 -> 00000417
[AUIPC] 00000417 : rd 8, upperimm 0
: pc -> 000003dc(988) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00010000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> 000000ff : t2 -> 000000ff : 
: s0 -> 000003d8 : s1 -> 00010000 : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> 0e000000 : t4 -> 0e000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[000003dc] -> ffff03b7
[INST] inst fetched from 000003dc -> ffff03b7
[LUI] ffff03b7 : rd 7, upperimm ffff0000
: pc -> 000003e0(992) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00010000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> 000000ff : t2 -> ffff0000 : 
: s0 -> 000003d8 : s1 -> 00010000 : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> 0e000000 : t4 -> 0e000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[000003e0] -> ff44d383
[INST] inst fetched from 000003e0 -> ff44d383
[LOAD] ff44d383 : rd 7, rs1 9(00010000), funct3 5, imm ff4
ram[0000fff4] -> 0000ffff(16) ; 0000ffff
: pc -> 000003e4(996) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00010000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> 000000ff : t2 -> 0000ffff : 
: s0 -> 000003d8 : s1 -> 00010000 : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> 0e000000 : t4 -> 0e000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[000003e4] -> 00010337
[INST] inst fetched from 000003e4 -> 00010337
[LUI] 00010337 : rd 6, upperimm 10000
: pc -> 000003e8(1000) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00010000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> 00010000 : t2 -> 0000ffff : 
: s0 -> 000003d8 : s1 -> 00010000 : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> 0e000000 : t4 -> 0e000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[000003e8] -> fff30313
[INST] inst fetched from 000003e8 -> fff30313
[REGIMM] fff30313 : rd 6, rs1 6(00010000), funct3 0, funct7 7f, imm fff
: pc -> 000003ec(1004) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00010000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> 0000ffff : t2 -> 0000ffff : 
: s0 -> 000003d8 : s1 -> 00010000 : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> 0e000000 : t4 -> 0e000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[000003ec] -> 2a731463
[INST] inst fetched from 000003ec -> 2a731463
[BRANCH] 2a731463 : rs1 6(0000ffff), rs2 7(0000ffff), funct3 1, brimm 2a8
: pc -> 000003f0(1008) :
